# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     172.18.0.1:60112 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60144 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60100 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60128 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52480 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52482 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52492 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52468 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58862 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58846 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58832 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58830 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.hbdm.vn/linear-swap-api/v1/swap_contract_info?business_type=all
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41514 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41532 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41536 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41516 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38586 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38580 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38602 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38568 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50696 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50694 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50722 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50682 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47208 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47226 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47220 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47196 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46164 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46178 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46180 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46162 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36750 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36758 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36774 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36748 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41104 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41106 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41114 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41098 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47116 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47122 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47102 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47132 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36102 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36110 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36112 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36086 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40160 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40174 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40176 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40158 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34062 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34058 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34060 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34048 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47338 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47358 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47344 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47334 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44982 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44992 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44990 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44980 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51704 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51716 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51718 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51690 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52960 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52954 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52950 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52938 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47836 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47848 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47854 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47832 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50618 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50634 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50646 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50608 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56692 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56716 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56706 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56690 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57694 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57698 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57684 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57702 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.huobi.pro/v2/reference/currencies
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38318 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38328 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38338 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
