# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     172.18.0.1:37020 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37006 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36994 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36982 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49226 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49240 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49214 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49250 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49200 - "GET /system/health HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:60894 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60900 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60908 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60888 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60880 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59656 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59668 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59684 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59652 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59638 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37776 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37782 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37764 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37796 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37754 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55272 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55278 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55294 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55260 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55258 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54524 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54538 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54552 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54508 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.hbdm.vn/linear-swap-api/v1/swap_contract_info?business_type=all
api-1  | INFO:     172.18.0.1:54502 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59788 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59796 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59790 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59782 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59780 - "GET /system/health HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=-1003922573548: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:33454 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33460 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33448 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33432 - "GET /analytics/summary HTTP/1.1" 200 OK
