# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:37958 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37928 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37958 - "OPTIONS /bot/start HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37986 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37974 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37944 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37986 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37958 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37928 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37944 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37974 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37958 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37986 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37928 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37974 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37986 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
